PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.0733945,0,0.0642202,0,0,0,0.0366972,0.825688,4,1,2.42202,0.161209,1,1.99748,0.437448,0.2609,1
0.0731707,0,0.121951,0,0,0,0,0.804878,4,1,2.32927,0.156863,1,1.88235,0.418301,0.343902,1
0.0700692,0,0.0216263,0,0,0,0.00951557,0.898789,4,1,2.90744,0.180282,1,2.36761,0.420892,0.244554,1
0.0700086,0,0.0224719,0,0,0,0.0103717,0.897148,4,1,2.90666,0.180155,1,2.36735,0.42083,0.244349,1
0.0690709,0,0.231051,0,0,0,0.00305623,0.696822,4,1,1.79156,0.0684211,1,1.54316,0.536316,0.18098,1
0.0670926,0,0.0702875,0,0,0,0.00638978,0.85623,4,1,2.58466,0.167102,1,2.11488,0.446475,0.269831,1
0.0666156,0.0137825,0.0750383,0,0,0,0.00229709,0.842266,4,1,2.46631,0.163057,1,2.05223,0.453079,0.219421,1
0.0647887,0.199296,0.194366,0,0,0,0.00140845,0.540141,4,1,1.99014,0.0766033,1,1.67874,0.524347,0.199912,1
0.0634783,0,0.0191304,0,0,0,0.0173913,0.9,4,1,2.92261,0.181047,1,2.37765,0.419378,0.245738,1
0.0627178,0,0.0174216,0,0,0,0.0174216,0.902439,4,1,2.91986,0.181303,1,2.37465,0.4195,0.246149,1
0.0624123,0.212482,0.193548,0,0,0,0.00140252,0.530154,4,1,1.98247,0.0763314,1,1.67337,0.525247,0.199119,1
0.0620155,0.0972516,0.15222,0,0,0,0.00211416,0.686399,4,1,2.17759,0.11527,1,1.8366,0.491979,0.202071,1
0.0587855,0.348837,0.179587,0,0,0,0.00129199,0.411499,4,1,1.82752,0.0711921,1,1.56181,0.545806,0.185471,1
0.0587219,0,0.0224525,0,0,0,0.0189983,0.899827,4,1,2.90501,0.180028,1,2.36639,0.421472,0.244151,1
0.0580561,0.333986,0.180691,0,0,0,0.00195695,0.42531,4,1,1.84997,0.0717863,1,1.57874,0.543127,0.187168,1
0.0571429,0,0.0714286,0,0,0,0,0.871429,4,1,2.78571,0.177778,1,2.17778,0.381481,0.377143,1
0.0569395,0.180783,0.19573,0,0,0,0.00925267,0.557295,4,1,2.01779,0.0772918,1,1.69922,0.52167,0.201831,1
0.0565317,0,0.0626432,0,0,0,0.0320856,0.84874,4,1,2.29259,0.162746,1,1.90846,0.463869,0.219246,1
0.0533217,0,0.0104895,0,0,0,0.027972,0.908217,4,1,2.90997,0.181818,1,2.36506,0.419744,0.246974,1
0.0532286,0,0.0113438,0,0,0,0.0279232,0.907504,4,1,2.91361,0.18156,1,2.36879,0.419385,0.246562,1
0,0.490862,0.171018,0,0,0,0.00130548,0.336815,4,1,1.83616,0.0718263,1,1.56682,0.542873,0.187253,1
0,0.489889,0.171559,0,0,0,0.00130463,0.337247,4,1,1.83823,0.0717863,1,1.56873,0.542385,0.187155,1
0,0.489889,0.171559,0,0,0,0.00130463,0.337247,4,1,1.83757,0.0717863,1,1.56817,0.542571,0.187158,1
0,0.48957,0.171447,0,0,0,0.00195567,0.337027,4,1,1.83638,0.0728587,1,1.5673,0.542084,0.187056,1
0,0.489556,0.171018,0,0,0,0.00195822,0.337467,4,1,1.83747,0.0723831,1,1.56793,0.542502,0.187265,1
0,0.489556,0.171018,0,0,0,0.00130548,0.33812,4,1,1.83812,0.0723831,1,1.56849,0.542687,0.187277,1
0,0.489237,0.172211,0,0,0,0.00195695,0.336595,4,1,1.83757,0.0717863,1,1.56817,0.542756,0.187145,1
0,0.489237,0.172211,0,0,0,0.00195695,0.336595,4,1,1.83692,0.0717863,1,1.56761,0.543127,0.187145,1
0,0.489237,0.172211,0,0,0,0.00195695,0.336595,4,1,1.83692,0.0717863,1,1.56761,0.542756,0.187145,1
0,0.489237,0.171559,0,0,0,0.00195695,0.337247,4,1,1.83627,0.0723428,1,1.56706,0.542756,0.187155,1
0,0.489237,0.171559,0,0,0,0.00130463,0.3379,4,1,1.83692,0.0723428,1,1.56761,0.542756,0.18717,1
0,0.488903,0.171671,0,0,0,0.00195822,0.337467,4,1,1.83812,0.0723831,1,1.56849,0.542873,0.187265,1
0,0.488903,0.171671,0,0,0,0.00130548,0.33812,4,1,1.83681,0.0718263,1,1.56737,0.542687,0.18726,1
0,0.484293,0.170812,0,0,0,0.0026178,0.342277,4,1,1.84228,0.0719866,1,1.57143,0.542597,0.187693,1
0,0.474967,0.172596,0,0,0,0.00131752,0.35112,4,1,1.85771,0.0723906,1,1.58305,0.5419,0.188867,1
0,0.474654,0.17314,0,0,0,0.00131666,0.350889,4,1,1.8578,0.07235,1,1.58329,0.541784,0.188753,1
0,0.472919,0.169089,0,0,0,0.00198151,0.356011,4,1,1.86988,0.0742407,1,1.5928,0.54012,0.189374,1
0,0.468421,0.181579,0,0,0,0,0.35,4,1,1.85263,0.0755556,1,1.56667,0.528889,0.225489,1
0,0.468421,0.181579,0,0,0,0,0.35,4,1,1.84737,0.0733333,1,1.56222,0.52963,0.225564,1
0,0.467987,0.173597,0,0,0,0.0019802,0.356436,4,1,1.86733,0.0725126,1,1.59078,0.540941,0.189164,1
0,0.462963,0.18254,0,0,0,0.0026455,0.351852,4,1,1.84656,0.0736607,1,1.56027,0.528274,0.226304,1
0,0.458886,0.180371,0,0,0,0.00265252,0.35809,4,1,1.85411,0.0760626,1,1.566,0.529456,0.22679,1
0,0.457672,0.18254,0,0,0,0.00529101,0.354497,4,1,1.84921,0.0736607,1,1.5625,0.529018,0.226568,1
0,0.455263,0.184211,0,0,0,0.00526316,0.355263,4,1,1.85,0.0733333,1,1.56444,0.531111,0.225602,1
0,0.411924,0.189702,0,0,0,0,0.398374,4,1,1.92141,0.0751708,1,1.61731,0.528474,0.230817,1
0.0404332,0.18556,0.191336,0,0,0,0.0245487,0.558123,4,1,2.04838,0.0782292,1,1.72104,0.519103,0.204526,1
0,0.401617,0.183288,0,0,0,0.0107817,0.404313,4,1,1.91105,0.0770975,1,1.60998,0.527589,0.229996,1
0,0.382022,0.213483,0,0,0,0,0.404494,4,1,1.89888,0.0825688,1,1.55963,0.492355,0.314045,1
0,0.35486,0.174434,0,0,0,0.0432756,0.42743,4,1,1.8735,0.0730464,1,1.594,0.54077,0.190635,1
0,0.352628,0.174983,0,0,0,0.0452428,0.427146,4,1,1.87425,0.0730051,1,1.59479,0.539898,0.190591,1
0.0351185,0,0.0131694,0,0,0,0.0456541,0.906058,4,1,2.97981,0.182466,1,2.41981,0.416013,0.247938,1
0,0.349933,0.176312,0,0,0,0.0430686,0.430686,4,1,1.91723,0.0742857,1,1.62857,0.539619,0.192519,1
0,0.343662,0.194366,0,0,0,0.0084507,0.453521,4,1,1.99437,0.0776471,1,1.66824,0.52,0.237264,1
0,0.329825,0.185263,0,0,0,0.00280702,0.482105,4,1,2.06526,0.0817052,1,1.74304,0.530491,0.199902,1
0.0309278,0.0309278,0.257732,0,0,0,0,0.680412,4,1,1.80412,0.0769231,1,1.50427,0.490029,0.320619,1
0,0.306938,0.182901,0,0,0,0.0308339,0.479327,4,1,1.97197,0.0762862,1,1.6647,0.527104,0.199207,1
0.0302245,0,0.0215889,0,0,0,0.0492228,0.898964,4,1,2.89551,0.180028,1,2.35865,0.422879,0.244204,1
0,0.301577,0.212618,0,0,0,0.0227129,0.463091,4,1,1.83596,0.0697674,1,1.57436,0.552911,0.182076,1
0,0.298197,0.182386,0,0,0,0.0325936,0.486824,4,1,1.95354,0.0762016,1,1.65182,0.530676,0.19745,1
0,0.2625,0.071875,0,0,0,0,0.665625,4,1,2.46875,0.164103,1,2.02821,0.45812,0.265625,1
