PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.158734,0.27693,0.262127,0,0,0,0.0594398,0.242769,4,1,2.08107,0.022707,0,1.63401,0.347354,0.0296198,0
0.158698,0,0.264496,0,0,0,0,0.576806,4,1,1.73957,0.0127389,0,1.36226,0.369029,0.0434493,0
0.158607,0.124758,0.246615,0,0,0,0.0599613,0.410058,4,1,2.20309,0.0239342,0,1.70456,0.444528,0.0418542,0
0.155854,0.15327,0.22564,0,0,0,0.0922719,0.372965,4,1,2.29362,0.0253415,0,1.75708,0.424272,0.0330721,0
0.150876,0.194771,0.230511,0,0,0,0.0220676,0.401775,4,1,2.23747,0.023536,0,1.72887,0.436929,0.0311411,0
0.150451,0,0.155672,0,0,0,0.000474608,0.693403,4,1,2.09302,0.0117002,0,1.6128,0.343327,0.0338688,0
0.15013,0.249586,0.258821,0,0,0,0.030547,0.310916,4,1,2.16244,0.0185321,0,1.67578,0.333624,0.030784,0
0.149988,0.194357,0.234145,0,0,0,0.0147094,0.4068,4,1,2.27466,0.0238184,0,1.75549,0.434934,0.0312988,0
0.14843,0.0815603,0.202128,0,0,0,0.0536981,0.514184,4,1,1.88576,0.0124514,0,1.44864,0.329815,0.0321563,0
0.146974,0.400133,0.280204,0,0,0,0.065174,0.107515,4,1,1.79051,0.011232,0,1.41769,0.381713,0.029177,0
0.146683,0.343064,0.183595,0,0,0,0.090953,0.235706,4,1,2.03185,0.0125187,0,1.5738,0.344404,0.0318922,0
0.143124,0.355706,0.251403,0,0,0,0.025725,0.224041,4,1,2.06852,0.018654,0,1.61778,0.346196,0.0302939,0
0.142983,0.321271,0.229479,0,0,0,0.0176523,0.288614,4,1,2.05913,0.0124052,0,1.60855,0.287526,0.0379274,0
0.14296,0.383153,0.244765,0,0,0,0.0368231,0.192298,4,1,1.79302,0.0120369,0,1.40135,0.365902,0.0310683,0
0.140999,0.0309573,0.0905307,0,0,0,0.0158689,0.721644,4,1,2.30489,0.0250197,0,1.74567,0.287579,0.0328516,0
0.139308,0.226011,0.247443,0,0,0,0.0304433,0.356795,4,1,2.20653,0.0240692,0,1.70384,0.438511,0.0314267,0
0.139085,0.457355,0.312598,0,0,0,0.000391236,0.0905712,4,1,1.68916,0.0100803,0,1.36021,0.402268,0.0261589,0
0.138973,0.199163,0.234952,0,0,0,0.069254,0.357657,4,1,2.07599,0.0230909,0,1.62436,0.440121,0.0300043,0
0.136968,0.24734,0.287677,0,0,0,0.0248227,0.303191,4,1,1.96676,0.0219972,0,1.54958,0.35405,0.0321912,0
0.136516,0.240334,0.273986,0,0,0,0.0439141,0.305251,4,1,2.15585,0.0237609,0,1.677,0.445146,0.0314352,0
0.136382,0.421074,0.296223,0,0,0,0.0302187,0.116103,4,1,1.80994,0.0111005,0,1.44402,0.385347,0.028043,0
0.13599,0.375054,0.234301,0,0,0,0.0320485,0.222607,4,1,2.08402,0.0162877,0,1.63319,0.350187,0.0312998,0
0.135098,0,0.244625,0,0,0,0.0174248,0.602851,4,1,1.79136,0.0113758,0,1.40722,0.363624,0.0293734,0
0.134688,0.306033,0.319648,0,0,0,0.00900712,0.230624,3,1,1.85735,0.0210928,0,1.47285,0.371159,0.0276541,0
0.134238,0.375117,0.251637,0,0,0,0.025725,0.213283,4,1,2.03695,0.0190406,0,1.59502,0.348865,0.033532,0
0.134235,0.183143,0.231009,0,0,0,0,0.451613,4,1,2.25598,0.0247209,0,1.72967,0.424508,0.0451215,0
0.133501,0.289182,0.318686,0,0,0,0.0110902,0.247541,4,1,1.89328,0.0210579,0,1.50041,0.369342,0.0272266,0
0.133319,0.28453,0.308313,0,0,0,0.0178922,0.255946,4,1,1.91512,0.0218777,0,1.51214,0.363437,0.0277657,0
0.132198,0.305848,0.328703,0,0,0,0.0358503,0.197401,4,1,1.87676,0.0118479,0,1.48134,0.369452,0.0287842,0
0.131977,0.352886,0.246925,0,0,0,0.0279092,0.240303,4,1,2.0667,0.0184366,0,1.61136,0.343289,0.0334021,0
0.131626,0.374214,0.250225,0,0,0,0.0592992,0.184636,4,1,2.0027,0.0116238,0,1.57062,0.359546,0.0322065,0
0.13138,0.383489,0.236573,0,0,0,0.030182,0.218376,4,1,2.06125,0.0170376,0,1.61509,0.349878,0.0314095,0
0.129462,0.421505,0.30129,0,0,0,0.0443011,0.103441,4,1,1.74473,0.0109458,0,1.38772,0.310997,0.0283785,0
0.128518,0.345625,0.24089,0,0,0,0.0381846,0.246782,4,1,2.13768,0.0218991,0,1.6763,0.456344,0.0287812,0
0.126635,0.427652,0.299979,0,0,0,0.00124559,0.144488,4,1,1.7814,0.0210474,0,1.42227,0.380428,0.0274297,0
