PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.012605,0.00140056,0.0550887,0,0,0,0.456116,0.47479,4,1,3.39262,0.0169492,1,3.24175,0.389384,0.524631,0
0.0275527,0.00648298,0.0875203,0,0,0,0.416532,0.461912,4,1,3.29984,0.0378788,1,3.08636,0.387879,0.545852,0
0.00380228,0.00095057,0.0922053,0,0,0,0.438213,0.464829,4,1,3.14639,0.0212014,1,2.92491,0.391048,0.507022,0
0.00140449,0,0.141854,0,0,0,0.418539,0.438202,4,1,2.83146,0.0148699,1,2.49938,0.373399,0.474246,0
0.00763359,0,0.267176,0,0,0,0.320611,0.40458,4,1,2.59542,0.0432099,1,2.10494,0.316872,0.449643,0
0.00340909,0.00568182,0.0613636,0,0,0,0.457386,0.472159,4,1,3.29943,0.0172136,1,3.12426,0.392326,0.520219,0
0.0526839,0.00298211,0.0596421,0,0,0,0.420477,0.464215,4,1,3.46024,0.0352046,1,3.31304,0.393276,0.567815,0
0.0111326,0.00338819,0.0474347,0,0,0,0.461278,0.476767,4,1,3.4666,0.0185787,1,3.32699,0.39294,0.532625,0
0.0095518,0.00220426,0.0631888,0,0,0,0.452608,0.472447,4,1,3.38722,0.0215877,1,3.211,0.37442,0.525271,0
0,0.00433839,0.125813,0,0,0,0.418655,0.451193,4,1,3,0.0292969,1,2.70312,0.376953,0.508358,0
0.00539568,0.00179856,0.100719,0,0,0,0.431655,0.460432,4,1,3.19784,0.029654,1,2.93081,0.380011,0.51721,0
0.0413223,0,0.136364,0,0,0,0.367769,0.454545,4,1,3.10744,0.0597015,1,2.8097,0.385572,0.54768,0
0.00479616,0.00119904,0.11271,0,0,0,0.429257,0.452038,4,1,2.94245,0.0162866,1,2.66558,0.389794,0.493633,0
0.0217391,0.0434783,0.152174,0,0,0,0.282609,0.5,4,1,2.8913,0.254902,1,2.62745,0.431373,0.830435,0
0.00127877,0.00127877,0.113811,0,0,0,0.424552,0.459079,4,1,2.99361,0.018648,1,2.7296,0.375291,0.496214,0
0.046875,0,0.114583,0,0,0,0.385417,0.453125,4,1,3.17708,0.0455635,1,2.92806,0.383693,0.554609,0
0.0501567,0.00940439,0.103448,0,0,0,0.369906,0.467085,4,1,3.18809,0.0892857,1,3.02976,0.416667,0.666605,0
0.00867679,0,0.0845987,0,0,0,0.438178,0.468547,4,1,3.24295,0.0232558,1,3.02427,0.383889,0.52187,0
0.00289855,0,0.182609,0,0,0,0.382609,0.431884,4,1,2.75072,0.0249377,1,2.36908,0.36409,0.462164,0
0,0,0.356322,0,0,0,0.287356,0.356322,4,1,2.36782,0.0336134,1,1.7395,0.453782,0.390086,0
0.00805802,0.0016116,0.073328,0,0,0,0.448832,0.468171,4,1,3.278,0.0188822,1,3.07326,0.384441,0.51847,0
0.0129995,0.00288878,0.0500722,0,0,0,0.457872,0.476168,4,1,3.49302,0.0189464,1,3.35305,0.386938,0.533595,0
0.114035,0.0146199,0.0964912,0,0,0,0.342105,0.432749,4,1,3.15789,0.0914127,1,2.99446,0.420129,0.651893,0
0.013986,0.002997,0.0739261,0,0,0,0.442557,0.466533,4,1,3.32068,0.0282752,1,3.13384,0.390512,0.536397,0
0.00570125,0.0022805,0.0923603,0,0,0,0.435576,0.464082,4,1,3.16648,0.0232313,1,2.93347,0.38578,0.51484,0
0.00873362,0.00436681,0.131004,0,0,0,0.393013,0.462882,4,1,3.08734,0.0748032,1,2.7874,0.371391,0.561921,0
0,0,0.329268,0,0,0,0.323171,0.347561,4,1,2.39024,0.0177778,1,1.74667,0.444444,0.378848,0
0.047619,0.0408163,0.14966,0,0,0,0.292517,0.469388,4,1,2.98639,0.179487,1,2.82051,0.457265,0.780801,0
0.0193165,0,0.0950966,0,0,0,0.421991,0.463596,4,1,3.24666,0.030303,1,3.01102,0.376492,0.531218,0
0.04,0.04,0.2,0,0,0,0.28,0.44,4,1,2.72,0.266667,1,2.3,0.4,0.776,0
0,0,0.271967,0,0,0,0.351464,0.376569,4,1,2.48536,0.0160772,1,1.91318,0.310825,0.396676,0
0,0,0.334532,0,0,0,0.316547,0.348921,4,1,2.36331,0.0107239,1,1.76408,0.447721,0.352329,0
0,0,0.206751,0,0,0,0.371308,0.421941,4,1,2.70042,0.0319149,1,2.27305,0.351064,0.448945,0
0,0,0.222222,0,0,0,0.37037,0.407407,4,1,2.61481,0.0244648,1,2.16208,0.347604,0.438467,0
0.0175268,0.00389484,0.0662123,0,0,0,0.444012,0.468354,4,1,3.38754,0.0294659,1,3.20442,0.383057,0.54234,0
0.00305344,0.00152672,0.145038,0,0,0,0.415267,0.435115,4,1,2.77557,0.0147453,1,2.43834,0.372207,0.463636,0
0,0.00239808,0.123501,0,0,0,0.426859,0.447242,4,1,2.88369,0.0172414,1,2.59267,0.374282,0.48394,0
0.0149584,0.00277008,0.0509695,0,0,0,0.455956,0.475346,4,1,3.4687,0.0201699,1,3.32378,0.385881,0.535937,0
0.025,0,0.0588235,0,0,0,0.444118,0.472059,4,1,3.41691,0.0216783,1,3.25035,0.383916,0.535273,0
0.0679612,0.00582524,0.0951456,0,0,0,0.382524,0.448544,4,1,3.26796,0.0492701,1,3.07299,0.391119,0.57717,0
0.025974,0,0.0755608,0,0,0,0.42503,0.473436,4,1,3.40378,0.0334448,1,3.21516,0.384244,0.544227,0
0.0306713,0.00462963,0.0480324,0,0,0,0.448495,0.468171,4,1,3.46296,0.0222346,1,3.32685,0.390402,0.543949,0
0,0.0133333,0.24,0,0,0,0.293333,0.453333,4,1,2.81333,0.114943,1,2.43678,0.367816,0.583333,0
0,0,0.230392,0,0,0,0.372549,0.397059,4,1,2.58088,0.0139721,1,2.10379,0.342648,0.411817,0
0,0.00253807,0.205584,0,0,0,0.383249,0.408629,4,1,2.63706,0.0168421,1,2.18947,0.347368,0.426239,0
0,0,0.292887,0,0,0,0.338912,0.368201,4,1,2.43933,0.0161812,1,1.88997,0.335491,0.387029,0
0.0414747,0.00614439,0.0691244,0,0,0,0.419355,0.463902,4,1,3.37481,0.0558824,1,3.23235,0.40098,0.603263,0
0.00248756,0.00248756,0.11194,0,0,0,0.426617,0.456468,4,1,2.99627,0.0226757,1,2.73243,0.384732,0.49815,0
0.0127298,0.00141443,0.0919378,0,0,0,0.427157,0.466761,4,1,3.27723,0.0328947,1,3.05,0.379386,0.532438,0
0.00256246,0,0.0691864,0,0,0,0.454196,0.474055,4,1,3.28956,0.017491,1,3.09771,0.384399,0.519222,0
0.0487805,0.0487805,0.292683,0,0,0,0.195122,0.414634,4,1,2.63415,0.191489,1,2.31915,0.425532,0.756098,0
0.016178,0.00505561,0.0677452,0,0,0,0.437816,0.473205,4,1,3.41658,0.0327553,1,3.25626,0.398844,0.549081,0
0.0135249,0.00253593,0.0769231,0,0,0,0.444632,0.462384,4,1,3.18512,0.0189873,1,2.9818,0.385812,0.519604,0
0,0.003663,0.120879,0,0,0,0.424908,0.450549,4,1,2.96154,0.0230643,1,2.66557,0.384953,0.502222,0
0.0165041,0.00450113,0.0690173,0,0,0,0.44111,0.468867,4,1,3.37509,0.0220641,1,3.20285,0.387189,0.528913,0
0.0337972,0.00596421,0.0934394,0,0,0,0.393638,0.473161,4,1,3.38569,0.0662879,1,3.22727,0.40846,0.609066,0
0.00377358,0.00188679,0.137736,0,0,0,0.413208,0.443396,4,1,2.86038,0.0234506,1,2.54104,0.375768,0.483582,0
0.0515267,0.0133588,0.0744275,0,0,0,0.402672,0.458015,4,1,3.35496,0.061706,1,3.19238,0.398064,0.604184,0
0.00403226,0.00302419,0.09375,0,0,0,0.438508,0.460685,4,1,3.05343,0.0185874,1,2.81599,0.385068,0.5075,0
0.0163767,0.00102354,0.0849539,0,0,0,0.432958,0.464688,4,1,3.24667,0.0258126,1,3.03346,0.389101,0.523727,0
0,0,0.100363,0,0,0,0.438936,0.460701,4,1,3.0786,0.0199115,1,2.81748,0.381268,0.508519,0
0.00928793,0,0.0975232,0,0,0,0.427245,0.465944,4,1,3.22755,0.0314286,1,2.98,0.38,0.525341,0
